#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-165.130693,50,1.510196
-134.100552,50,1.565335
-129.938858,50,2.123893
-140.641756,50,2.731671
-98.667541,50,3.345783
-181.209811,50,3.965841
-140.951425,50,4.715583
-152.054352,50,5.520902
-105.801415,50,6.230791
-140.268191,50,6.620449
-151.099774,50,6.811724
-132.70974,50,6.978994
-136.437872,50,7.145882
-124.046515,50,7.309397
-121.342342,50,7.472252
-161.220536,50,7.634732
-114.835033,50,7.79582
-129.257761,50,7.957434
-102.713502,50,8.121481
-115.606195,50,8.27865
-140.797887,50,8.440988
-174.614417,50,8.60373
-101.044019,50,8.766244
-133.153322,50,8.928112
-99.592683,50,9.090364
-131.589283,50,9.253789
-115.843334,50,9.420527
-120.058467,50,9.587413
-127.539152,50,9.752385
-145.106424,50,9.914515
-126.004132,50,10.081178
-94.781041,50,10.245961
-122.212923,50,10.411064
-93.465222,50,10.577589
-113.493189,50,10.743034
-121.865007,50,10.906868
-131.13937,50,11.072526
-160.975764,50,11.23575
-107.480308,50,11.40062
-101.265492,50,11.567011
-116.335982,50,13.249907
-125.368775,50,13.310717
-87.964457,50,13.363977
-144.908598,50,13.417972
-130.073168,50,13.472032
-97.275095,50,13.525313
-104.857232,50,13.579629
-106.908732,50,13.633388
-122.716455,50,13.687049
-123.623953,50,13.740093
-133.610577,50,13.793365
-177.70045,50,13.847198
-108.155096,50,13.9006
-152.169712,50,13.954466
-106.394715,50,14.00775
-120.558718,50,14.060791
-127.365568,50,14.114228
-105.569866,50,14.167814
-116.27648,50,14.220982
-117.613315,50,14.274682
-132.755078,50,14.327763
-112.719119,50,14.381202
-127.749712,50,14.437511
-94.940463,50,14.490294
-120.189167,50,14.543883
-141.492778,50,14.598553
-108.140799,50,14.652678
-115.709914,50,14.706342
-108.514619,50,14.759972
-101.639596,50,14.813384
-104.908723,50,14.866748
-103.828709,50,14.921871
-109.220115,50,14.975933
-116.969243,50,15.030248
-98.918812,50,15.08486
-110.058615,50,15.138576
-150.019334,50,15.192894
-113.831508,50,15.246652
-130.716463,50,15.301548
-122.175003,50,15.355793
-128.411506,50,15.409381
